S,set,altpron,wordfreq,samepron,MFA,LFA,freq,reg,const
base,1,phase,144,3,2,0,H,R,I
bird,1,na,144,2,na,na,H,R,C
bone,2,done,42,11,3,1,H,R,I
bag,2,na,63,12,na,na,H,R,C
but,3,put,3620,7,1,0,H,R,I
by,3,na,3924,14,na,na,H,R,C
catch,4,watch,121,7,1,0,H,R,I
clean,4,na,94,6,na,na,H,R,C
cool,5,wool,88,5,1,0,H,R,I
corn,5,na,96,7,na,na,H,R,C
days,6,says,380,13,1,0,H,R,I
draw,6,na,243,13,na,na,H,R,C
dear,7,pear,67,13,5,0,H,R,I
dust,7,na,59,9,na,na,H,R,C
flew,8,sew,64,13,6,1,H,R,I
fish,8,na,282,2,na,na,H,R,C
flat,9,what,113,14,1,0,H,R,I
fine,9,na,198,15,na,na,H,R,C
five,10,give,309,6,2,0,H,R,I
fast,10,na,212,7,na,na,H,R,C
form,11,worm,471,2,1,0,H,R,I
feet,11,na,463,9,na,na,H,R,C
go,12,do,1008,3,3,0,H,R,I
get,12,na,1070,11,na,na,H,R,C
goes,13,does,173,6,1,0,H,R,I
girl,13,na,195,2,na,na,H,R,C
grow,14,plow,244,14,10,0,H,R,I
gold,14,na,157,9,na,na,H,R,C
here,15,were,794,2,2,1,H,R,I
help,15,na,739,2,na,na,H,R,C
home,16,come,612,4,2,0,H,R,I
high,16,na,420,3,na,na,H,R,C
meat,17,great,88,11,2,1,H,R,I
mile,17,na,57,8,na,na,H,R,C
paid,18,said,68,5,1,1,H,R,I
plate,18,na,53,16,na,na,H,R,C
plant,19,want,158,6,1,0,H,R,I
piece,19,na,206,1,na,na,H,R,C
roll,20,doll,48,4,2,0,H,R,I
rod,20,na,39,9,na,na,H,R,C
root,21,foot,58,6,2,0,H,R,I
rice,21,na,57,12,na,na,H,R,C
sand,22,wand,110,10,1,0,H,R,I
sent,22,na,138,10,na,na,H,R,C
small,23,shall,663,11,1,0,H,R,I
such,23,na,795,1,na,na,H,R,C
speak,24,break,119,9,2,0,H,R,I
skin,24,na,112,16,na,na,H,R,C
brood,25,flood,3,2,4,2,L,R,I
brisk,25,na,4,2,na,na,L,R,C
cook,26,spook,38,7,1,0,L,R,I
code,26,na,22,3,na,na,L,R,C
cord,27,word,18,4,1,0,L,R,I
cane,27,na,17,7,na,na,L,R,C
cove,28,move,2,8,4,2,L,R,I
cope,28,na,2,2,na,na,L,R,C
cramp,29,swamp,1,9,1,0,L,R,I
clang,29,na,1,8,na,na,L,R,C
dare,30,are,14,16,1,0,L,R,I
dime,30,na,14,5,na,na,L,R,C
fowl,31,bowl,3,5,1,0,L,R,I
fawn,31,na,3,5,na,na,L,R,C
gull,32,pull,3,5,3,0,L,R,I
gong,32,na,3,7,na,na,L,R,C
harm,33,swarm,19,3,2,0,L,R,I
hide,33,na,42,11,na,na,L,R,C
hoe,34,shoe,4,8,1,0,L,R,I
hike,34,na,6,5,na,na,L,R,C
lash,35,wash,1,17,1,0,L,R,I
loom,35,na,6,7,na,na,L,R,C
leaf,36,deaf,36,1,1,0,L,R,I
leg,36,na,57,4,na,na,L,R,C
loss,37,gross,29,8,1,0,L,R,I
luck,37,na,31,13,na,na,L,R,C
mad,38,wad,27,11,1,0,L,R,I
mix,38,na,16,2,na,na,L,R,C
moose,39,choose,7,3,1,0,L,R,I
mole,39,na,5,8,na,na,L,R,C
moth,40,both,8,3,1,0,L,R,I
mist,40,na,9,7,na,na,L,R,C
mouse,41,rouse,32,4,4,0,L,R,I
moist,41,na,18,1,na,na,L,R,C
mush,42,bush,2,10,2,0,L,R,I
math,42,na,2,5,na,na,L,R,C
pork,43,work,7,3,1,0,L,R,I
pail,43,na,12,16,na,na,L,R,C
pose,44,lose,1,7,2,1,L,R,I
peep,44,na,2,11,na,na,L,R,C
pouch,45,touch,5,3,1,0,L,R,I
peach,45,na,11,6,na,na,L,R,C
rave,46,have,1,12,1,0,L,R,I
reef,46,na,7,1,na,na,L,R,C
tint,47,pint,1,8,1,0,L,R,I
taps,47,na,2,14,na,na,L,R,C
toad,48,broad,12,3,1,0,L,R,I
tend,48,na,17,9,na,na,L,R,C
